"-- Please select --","-- Prosím vyberte --"
"1 Column","1 sloupec"
"2 Columns","2 sloupce"
"3 Columns","3 sloupce"
"3 Columns With Colspan","3 sloupce s Colspan"
"Example: .step-title{background-color: #1979c3;}","Příklad: .step-title {barva pozadí: # 1979c3;}"
"AVAILABLE FIELDS","DOSTUPNÉ POLE"
"Add","Přidat"
"Additional Content","Další obsah"
"Additional Information","dodatečné informace"
"After Adding a Product Redirect to OneStepCheckout Page","Po přidání přesměrování produktu na stránku OneStepCheckout"
"All fields have been saved.","Všechna pole byla uložena."
"Allow Customer Add Other Option","Povolit zákazníkovi přidat další možnost"
"Allow Guest Checkout","Povolit službu Guest Checkout"
"Allow checking out as a guest. Guest can create an account in the checkout page.","Povolit kontrolu jako host. Host si může vytvořit účet na stránce platby."
"Allow customer comment in order.","Povolejte komentář zákazníka."
"Allow customers can billing to a different address from billing address.","Umožněte zákazníkům účtovat na jinou adresu než fakturační adresa."
"Amount","Množství"
"Calculate Method","Metoda výpočtu"
"Can Show Billing Address","Může zobrazit fakturační adresu"
"Capture+ Key","Zachytit + klíč"
"Capture+ by PCA Predict","Capture + podle předpovědi PCA"
"Checked Newsletter by default","Ve výchozím nastavení je zaškrtnuto Newsletter"
"Checkout Page Layout","Rozložení stránky Pokladna"
"Could not add gift wrap for this quote","Nelze přidat dárkový zábal pro tuto citaci"
"Could not remove item from quote","Nelze odebrat položku z nabídky"
"Could not update item from quote","Nelze aktualizovat položku z nabídky"
"Custom Css","Vlastní Css"
"Date Format","Datový formát"
"Day/Month/Year","Den / měsíc / rok"
"Days Off","Dny volna"
"Default","Výchozí nastavení"
"Default Payment Method","Výchozí způsob platby"
"Default Shipping Method","Výchozí metoda odeslání"
"Delivery Time","Čas doručení"
"Design Configuration","Konfigurace návrhu"
"Design Style","Styl designu"
"Display Configuration","Konfigurace zobrazení"
"Enable Delivery Time","Povolit doručení"
"Enable Gift Message","Povolit dárkovou zprávu"
"Enable Gift Wrap","Povolit dárkové balení"
"Enable One Step Checkout","Povolit poklad na jednom kroku"
"Enable Social Login On Checkout Page","Povolit sociální přihlášení na stránce Pokladna"
"Enable Survey","Povolit průzkum"
"Enter the amount of gift wrap fee.","Zadejte částku poplatku za dárkové balení."
"Error during save field position.","Chyba při uložení pozice pole."
"Manage Fields","Manage Fields"
"Flat","Ploché"
"General Configuration","Obecná konfigurace"
"Gift Wrap","Dárek Wrap"
"Google","Google"
"Google Api Key","Klíč Google Api"
"HTML allowed","HTML povoleno"
"Heading Background Color","Výchozí barva pozadí"
"Heading Text Color","Barva textu nadpisu"
"IP Country Lookup","IP Země vyhledávání"
"In Payment Area","V oblasti plateb"
"In Review Area","V oblasti recenzí"
"It will show on success page","Zobrazí se na stránce s úspěchem"
"Material","Materiál"
"Month/Day/Year","Měsíc den rok"
"No","Ne"
"One Step Checkout","Jednorázový poklad"
"One Step Checkout Description","Popis kroku pro jeden krok"
"One Step Checkout Page Title","Jeden krok Pokladna stránky"
"One step checkout is turned off.","Krok za krokem je vypnutý."
"Options","Možnosti"
"Order Comment","Objednejte si komentář"
"Order Survey","Průzkum objednávek"
"Per Item","Za položku"
"Per Order","Na objednávku"
"Place Order button color","Umístěte barvu tlačítka objednávky"
"Restrict the auto suggestion for a specific country","Omezit automatický návrh pro určitou zemi"
"SORTED FIELDS","ROZŠIŘENÉ POLE"
"Save Position","Uložit pozici"
"Set default payment method in the checkout process.","Nastavte výchozí způsob platby v procesu platby."
"Set default shipping method in the checkout process.","Nastavte výchozí způsob odeslání v procesu platby."
"Show Discount Code Section","Zobrazit sekci Kód slevy"
"Show Login Link","Zobrazit odkaz pro přihlášení"
"Show Newsletter Checkbox","Zobrazit Newsletter Checkbox"
"Show Order Comment","Zobrazit objednávkový komentář"
"Show Order Review Section","Zobrazit sekci Přehled objednávek"
"Show Product Thumbnail Image","Zobrazit miniaturu produktu"
"Show Sign up newsletter selection","Zobrazit možnost Zapsat newsletter"
"You already have an account with us","Už máte účet u nás"
"Sign in","Přihlásit se"
"continue as guest.","pokračovat jako host."
"Street","ulice"
"Style 1","Styl 1"
"Style 2","Styl 2"
"Style 3","Styl 3"
"The default country will be set based on location of the customer.","Výchozí země bude nastavena na základě umístění zákazníka."
"There is an error while subscribing for newsletter.","Během přihlášení k odběru zpravodaje došlo k chybě."
"To calculate gift wrap fee based on item or order.","Vypočítat poplatek za dárkový zábal na základě položky nebo objednávky."
"Unable to save order information. Please check input data.","Nelze uložit informace o objednávce. Zkontrolujte vstupní data."
"Use Auto Suggestion Technology","Používejte technologii automatických návrhů"
"When customer fills address fields, it will suggest a list of full addresses.","Když zákazník vyplní pole pro adresy, navrhne seznam úplných adres."
"Year/Month/Day","Rok / Měsíc / Den"
"You can disable Order Review Section. It is enabled by default.","Můžete zakázat sekci Ohodnocení objednávek. Je standardně povoleno."
