"-- Please select --","-- Vælg venligst --"
"1 Column","1 kolonne"
"2 Columns","2 kolonner"
"3 Columns","3 kolonner"
"3 Columns With Colspan","3 kolonner med Colspan"
"Example: .step-title{background-color: #1979c3;}","Eksempel: .step-titel {baggrundsfarve: # 1979c3;}"
"AVAILABLE FIELDS","TILGÆNGELIGE OMRÅDER"
"Add","Tilføje"
"Additional Content","Yderligere indhold"
"Additional Information","Yderligere Information"
"After Adding a Product Redirect to OneStepCheckout Page","Efter tilføjelse af en produkt omdirigering til OneStepCheckout-side"
"All fields have been saved.","Alle felter er blevet gemt."
"Allow Customer Add Other Option","Tillad, at kunden tilføjer andet valg"
"Allow Guest Checkout","Tillad gæstcheck"
"Allow checking out as a guest. Guest can create an account in the checkout page.","Tillad at tjekke som gæst. Gæsten kan oprette en konto i afkrydsningssiden."
"Allow customer comment in order.","Tillad kundekommentar i rækkefølge."
"Allow customers can billing to a different address from billing address.","Tillad kunder at fakturere til en anden adresse fra faktureringsadresse."
"Amount","Beløb"
"Calculate Method","Beregn metode"
"Can Show Billing Address","Kan vise faktureringsadresse"
"Capture+ Key","Capture + Key"
"Capture+ by PCA Predict","Capture + ved PCA Predict"
"Checked Newsletter by default","Kontrolleret Nyhedsbrev som standard"
"Checkout Page Layout","Checkout Side Layout"
"Could not add gift wrap for this quote","Kunne ikke tilføje gavepakke til dette citat"
"Could not remove item from quote","Kunne ikke fjerne element fra citat"
"Could not update item from quote","Kunne ikke opdatere vare fra citat"
"Custom Css","Brugerdefineret css"
"Date Format","Datoformat"
"Day/Month/Year","Dag / Måned / År"
"Days Off","Fridage"
"Default","Standard"
"Default Payment Method","Standard betalingsmetode"
"Default Shipping Method","Standard forsendelsesmetode"
"Delivery Time","Leveringstid"
"Design Configuration","Designkonfiguration"
"Design Style","Design stil"
"Display Configuration","Vis konfiguration"
"Enable Delivery Time","Aktivér leveringstid"
"Enable Gift Message","Aktivér gavebesked"
"Enable Gift Wrap","Aktivér gaveindpakning"
"Enable One Step Checkout","Aktivér One Step Checkout"
"Enable Social Login On Checkout Page","Aktivér social login på Checkout Page"
"Enable Survey","Aktivér undersøgelse"
"Enter the amount of gift wrap fee.","Indtast mængden af ​​gave wrap gebyr."
"Error during save field position.","Fejl under gemt feltposition."
"Manage Fields","Manage Fields"
"Flat","Flad"
"General Configuration","Generel konfiguration"
"Gift Wrap","Gavepapir"
"Google","Google"
"Google Api Key","Google Api-nøgle"
"HTML allowed","HTML tilladt"
"Heading Background Color","Overskrift Baggrundsfarve"
"Heading Text Color","Overskrift Tekstfarve"
"IP Country Lookup","IP Land Lookup"
"In Payment Area","I betalingsområdet"
"In Review Area","I Review Area"
"It will show on success page","Det vil vise på succes side"
"Material","Materiale"
"Month/Day/Year","Måned / dag / år"
"No","Ingen"
"One Step Checkout","One Step Checkout"
"One Step Checkout Description","One Step Checkout Beskrivelse"
"One Step Checkout Page Title","One Step Checkout Sidetitel"
"One step checkout is turned off.","One-Step Checkout er slået fra."
"Options","Muligheder"
"Order Comment","Ordre Kommentar"
"Order Survey","Ordreundersøgelse"
"Per Item","Pr. Vare"
"Per Order","Per Ordre"
"Place Order button color","Placer bestillingsknapfarve"
"Restrict the auto suggestion for a specific country","Begræns det automatiske forslag til et bestemt land"
"SORTED FIELDS","SORTEDE OMRÅDER"
"Save Position","Gem position"
"Set default payment method in the checkout process.","Indstil standard betalingsmetode i checkout processen."
"Set default shipping method in the checkout process.","Indstil standard forsendelsesmetode i checkout processen."
"Show Discount Code Section","Vis rabatkode sektion"
"Show Login Link","Vis Login Link"
"Show Newsletter Checkbox","Vis nyhedsbrevets afkrydsningsfelt"
"Show Order Comment","Vis ordre kommentar"
"Show Order Review Section","Vis ordreanmeldelsesafsnit"
"Show Product Thumbnail Image","Vis produkt thumbnail billede"
"Show Sign up newsletter selection","Vis Tilmeld nyhedsbreve"
"You already have an account with us","Du har allerede en konto hos os"
"Sign in","Log ind"
"continue as guest.","fortsæt som gæst."
"Street","Gade"
"Style 1","Stil 1"
"Style 2","Style 2"
"Style 3","Style 3"
"The default country will be set based on location of the customer.","Standardlandet vil blive indstillet ud fra kundens placering."
"There is an error while subscribing for newsletter.","Der er en fejl, mens du abonnerer på nyhedsbrev."
"To calculate gift wrap fee based on item or order.","At beregne gavepakning gebyr baseret på vare eller ordre."
"Unable to save order information. Please check input data.","Kan ikke gemme ordreoplysninger. Kontroller indtastningsdata."
"Use Auto Suggestion Technology","Brug Auto Suggestion Technology"
"When customer fills address fields, it will suggest a list of full addresses.","Når kunden udfylder adressefelter, vil den foreslå en liste over fulde adresser."
"Year/Month/Day","År / Måned / Dag"
"You can disable Order Review Section. It is enabled by default.","Du kan deaktivere bestillingsoversigt. Det er aktiveret som standard."
