"-- Please select --","-- Παρακαλώ επιλέξτε --"
"1 Column","1 Στήλη"
"2 Columns","2 Στήλες"
"3 Columns","3 Στήλες"
"3 Columns With Colspan","3 στήλες με Colspan"
"Example: .step-title{background-color: #1979c3;}","Παράδειγμα: .step-title {χρώμα-φόντο: # 1979c3;}"
"AVAILABLE FIELDS","ΔΙΑΘΕΣΙΜΑ ΠΕΔΙΑ"
"Add","Προσθέτω"
"Additional Content","Πρόσθετο περιεχόμενο"
"Additional Information","Επιπλέον πληροφορίες"
"After Adding a Product Redirect to OneStepCheckout Page","Μετά την προσθήκη ανακατεύθυνσης προϊόντος στη σελίδα OneStepCheckout"
"All fields have been saved.","Όλα τα πεδία έχουν αποθηκευτεί."
"Allow Customer Add Other Option","Επιτρέψτε στον Πελάτη να προσθέσει άλλη επιλογή"
"Allow Guest Checkout","Να επιτρέπεται ο έλεγχος επισκέπτη"
"Allow checking out as a guest. Guest can create an account in the checkout page.","Επιτρέψτε τον έλεγχο ως επισκέπτης. Ο επισκέπτης μπορεί να δημιουργήσει έναν λογαριασμό στη σελίδα πληρωμής."
"Allow customer comment in order.","Αφήστε το σχόλιο του πελάτη στη σειρά."
"Allow customers can billing to a different address from billing address.","Επιτρέψτε στους πελάτες τη δυνατότητα χρέωσης σε διαφορετική διεύθυνση από τη διεύθυνση χρέωσης."
"Amount","Ποσό"
"Calculate Method","Υπολογισμός μεθόδου"
"Can Show Billing Address","Μπορεί να εμφανίσει τη διεύθυνση χρέωσης"
"Capture+ Key","Σύλληψη + κλειδί"
"Capture+ by PCA Predict","Capture + by PCA Predict"
"Checked Newsletter by default","Ελεγμένο ενημερωτικό δελτίο από προεπιλογή"
"Checkout Page Layout","Έλεγχος σελίδας"
"Could not add gift wrap for this quote","Δεν ήταν δυνατή η προσθήκη περιτύλιξης δώρου για αυτό το απόσπασμα"
"Could not remove item from quote","Δεν ήταν δυνατή η κατάργηση στοιχείου από την προσφορά"
"Could not update item from quote","Δεν ήταν δυνατή η ενημέρωση του στοιχείου από την προσφορά"
"Custom Css","Προσαρμοσμένο Css"
"Date Format","Μορφή ημερομηνίας"
"Day/Month/Year","ΗΜΕΡΑ ΜΗΝΑΣ ΕΤΟΣ"
"Days Off","Ρεπό"
"Default","Προκαθορισμένο"
"Default Payment Method","Προεπιλεγμένη μέθοδος πληρωμής"
"Default Shipping Method","Προεπιλεγμένη μέθοδος αποστολής"
"Delivery Time","Ωρα παράδοσης"
"Design Configuration","Διαμόρφωση σχεδιασμού"
"Design Style","Στυλ σχεδίασης"
"Display Configuration","Εμφάνιση διαμόρφωσης"
"Enable Delivery Time","Ενεργοποίηση χρόνου παράδοσης"
"Enable Gift Message","Ενεργοποίηση μηνυμάτων δώρων"
"Enable Gift Wrap","Ενεργοποιήστε το περιτύλιγμα δώρων"
"Enable One Step Checkout","Ενεργοποιήστε τον έλεγχο ενός βήματος"
"Enable Social Login On Checkout Page","Ενεργοποίηση σύνδεσης κοινωνικής δικτύωσης στη σελίδα ελέγχου"
"Enable Survey","Ενεργοποιήστε την Έρευνα"
"Enter the amount of gift wrap fee.","Καταχωρίστε το ποσό της αμοιβής συσκευασίας δώρου."
"Error during save field position.","Σφάλμα κατά την αποθήκευση θέσης πεδίου."
"Manage Fields","Manage Fields"
"Flat","Διαμέρισμα"
"General Configuration","Γενική διαμόρφωση"
"Gift Wrap","Χαρτί περιτυλίγματος"
"Google","Google"
"Google Api Key","Κλειδί Google Api"
"HTML allowed","Το HTML επιτρέπεται"
"Heading Background Color","Κεφαλίδα Χρώμα φόντου"
"Heading Text Color","Κεφάλαιο Χρώμα κειμένου"
"IP Country Lookup","Αναζήτηση χώρας IP"
"In Payment Area","Στην περιοχή πληρωμής"
"In Review Area","Στην Περιοχή Ανασκόπησης"
"It will show on success page","Θα εμφανιστεί στη σελίδα επιτυχίας"
"Material","Υλικό"
"Month/Day/Year","Μηνας μερα χρονος"
"No","Οχι"
"One Step Checkout","Έλεγχος ενός βήματος"
"One Step Checkout Description","Περιγραφή βηματοδότησης ενός βήματος"
"One Step Checkout Page Title","Τίτλος σελίδας ενός τίτλου ελέγχου"
"One step checkout is turned off.","Ένας σταθμός ελέγχου είναι απενεργοποιημένος."
"Options","Επιλογές"
"Order Comment","Παραγγελία Σχόλιο"
"Order Survey","Έρευνα Παραγγελίας"
"Per Item","Ανά αντικείμενο"
"Per Order","Ανά παραγγελία"
"Place Order button color","Τοποθετήστε χρώμα κουμπιού παραγγελίας"
"Restrict the auto suggestion for a specific country","Περιορίστε την αυτόματη πρόταση για μια συγκεκριμένη χώρα"
"SORTED FIELDS","ΠΕΔΙΑΚΑ ΠΕΔΙΑ"
"Save Position","Αποθήκευση θέσης"
"Set default payment method in the checkout process.","Ορίστε την προεπιλεγμένη μέθοδο πληρωμής στη διαδικασία πληρωμής."
"Set default shipping method in the checkout process.","Ορίστε την προεπιλεγμένη μέθοδο αποστολής στη διαδικασία πληρωμής."
"Show Discount Code Section","Εμφάνιση της ενότητας ""Κωδικός έκπτωσης"""
"Show Login Link","Εμφάνιση σύνδεσμου σύνδεσης"
"Show Newsletter Checkbox","Εμφάνιση κουτιού ελέγχου ενημερωτικών δελτίων"
"Show Order Comment","Εμφάνιση σχολίου παραγγελίας"
"Show Order Review Section","Εμφάνιση ενότητας αναθεώρησης παραγγελίας"
"Show Product Thumbnail Image","Εμφάνιση μικρογραφίας εικόνας προϊόντος"
"Show Sign up newsletter selection","Εμφανίστε την επιλογή Εγγραφή επιλογής ενημερωτικού δελτίου"
"You already have an account with us","Έχετε ήδη λογαριασμό μαζί μας"
"Sign in","Συνδεθείτε"
"continue as guest.","Συνεχίστε ως επισκέπτης."
"Street","Δρόμος"
"Style 1","Στυλ 1"
"Style 2","Στυλ 2"
"Style 3","Στυλ 3"
"The default country will be set based on location of the customer.","Η προεπιλεγμένη χώρα θα οριστεί βάσει της θέσης του πελάτη."
"There is an error while subscribing for newsletter.","Παρουσιάζεται σφάλμα κατά την εγγραφή σε ενημερωτικό δελτίο."
"To calculate gift wrap fee based on item or order.","Για να υπολογίσετε το τέλος συσκευασίας δώρου βάσει στοιχείου ή παραγγελίας."
"Unable to save order information. Please check input data.","Δεν είναι δυνατή η αποθήκευση πληροφοριών παραγγελιών. Ελέγξτε τα δεδομένα εισόδου."
"Use Auto Suggestion Technology","Χρησιμοποιήστε την τεχνολογία αυτόματης προσφοράς"
"When customer fills address fields, it will suggest a list of full addresses.","Όταν ο πελάτης γεμίσει πεδία διευθύνσεων, θα προτείνει μια λίστα πλήρων διευθύνσεων."
"Year/Month/Day","Έτος / Μήνας / Ημέρα"
"You can disable Order Review Section. It is enabled by default.","Μπορείτε να απενεργοποιήσετε την Ενότητα αναθεώρησης παραγγελιών. Είναι ενεργοποιημένη από προεπιλογή."
