"-- Please select --","-- Ole hyvä ja valitse --"
"1 Column","1 sarake"
"2 Columns","2 saraketta"
"3 Columns","3 saraketta"
"3 Columns With Colspan","3 saraketta Colspannalla"
"Example: .step-title{background-color: #1979c3;}","Esimerkki: .step-title {taustaväri: # 1979c3;}"
"AVAILABLE FIELDS","SAATAVAT KENTTÄ"
"Add","Lisätä"
"Additional Content","Lisäsisältö"
"Additional Information","lisäinformaatio"
"After Adding a Product Redirect to OneStepCheckout Page","Tuotteen uudelleenohjauksen lisääminen OneStepCheckout-sivulle"
"All fields have been saved.","Kaikki kentät on tallennettu."
"Allow Customer Add Other Option","Salli asiakkaan lisätä muita vaihtoehtoja"
"Allow Guest Checkout","Salli Guest Checkout"
"Allow checking out as a guest. Guest can create an account in the checkout page.","Salli vierailla vierailla. Vieras voi luoda tilin Kassalle -sivulla."
"Allow customer comment in order.","Salli asiakkaan kommentti järjestyksessä."
"Allow customers can billing to a different address from billing address.","Salli asiakkaat voivat laskuttaa eri osoitteeseen laskutusosoitteesta."
"Amount","Määrä"
"Calculate Method","Laske menetelmä"
"Can Show Billing Address","Voit näyttää laskutusosoitteen"
"Capture+ Key","Capture + Key"
"Capture+ by PCA Predict","Capture + PCA: n ennustuksella"
"Checked Newsletter by default","Oletuksena on tarkistettu uutiskirje"
"Checkout Page Layout","Checkout-sivun asettelu"
"Could not add gift wrap for this quote","Tätä tarjousta ei voitu lisätä lahjapakkaukseen"
"Could not remove item from quote","Kohdetta ei voitu nostaa lainaan"
"Could not update item from quote","Päivitystä ei voitu päivittää lainaan"
"Custom Css","Custom Css"
"Date Format","Päivämäärämuoto"
"Day/Month/Year","Päivä kuukausi vuosi"
"Days Off","Päivät pois"
"Default","oletusarvo"
"Default Payment Method","Oletusmaksutapa"
"Default Shipping Method","Oletuslähetysmenetelmä"
"Delivery Time","Toimitusaika"
"Design Configuration","Suunnittelun kokoonpano"
"Design Style","Design tyyli"
"Display Configuration","Näytön kokoonpano"
"Enable Delivery Time","Ota käyttöön toimitusaika"
"Enable Gift Message","Ota lahjoitusviesti käyttöön"
"Enable Gift Wrap","Ota lahjapakkaus käyttöön"
"Enable One Step Checkout","Ota One Step Checkout käyttöön"
"Enable Social Login On Checkout Page","Salli sosiaalinen kirjautuminen Checkout-sivulla"
"Enable Survey","Ota kysely käyttöön"
"Enter the amount of gift wrap fee.","Anna lahjapaperimaksun määrä."
"Error during save field position.","Virhe tallennuskenttän aikana."
"Manage Fields","Manage Fields"
"Flat","tasainen"
"General Configuration","Yleinen määritys"
"Gift Wrap","Lahjapaperia"
"Google","Google"
"Google Api Key","Google Api -avain"
"HTML allowed","HTML sallittu"
"Heading Background Color","Otsikon taustaväri"
"Heading Text Color","Tekstin otsikon väri"
"IP Country Lookup","IP-maan haku"
"In Payment Area","Maksualueella"
"In Review Area","Tarkastelualueella"
"It will show on success page","Se näkyy menestyssivulla"
"Material","materiaali"
"Month/Day/Year","Kuukausi päivä Vuosi"
"No","Ei"
"One Step Checkout","Yhden vaiheen kassalle"
"One Step Checkout Description","One Step Checkout Kuvaus"
"One Step Checkout Page Title","One Step Checkout -sivun otsikko"
"One step checkout is turned off.","Yksiportainen kassalle on katkaistu virta."
"Options","vaihtoehdot"
"Order Comment","Tilaa kommentti"
"Order Survey","Tilaustutkimus"
"Per Item","Per tuote"
"Per Order","Tilauksesta"
"Place Order button color","Paikkamääräpainikkeen väri"
"Restrict the auto suggestion for a specific country","Rajoita tietyn maan automaattinen ehdotus"
"SORTED FIELDS","LAAJUITETUT ALUEET"
"Save Position","Tallenna sijainti"
"Set default payment method in the checkout process.","Aseta oletusmaksutapa kassaprosessissa."
"Set default shipping method in the checkout process.","Aseta oletuslähetystapa kassaprosessissa."
"Show Discount Code Section","Näytä alennuksen koodi"
"Show Login Link","Näytä kirjautuminen"
"Show Newsletter Checkbox","Näytä uutiskirje Checkbox"
"Show Order Comment","Näytä tilauksen kommentti"
"Show Order Review Section","Näytä tilauksen tarkistusosiota"
"Show Product Thumbnail Image","Näytä tuotenäkymän kuva"
"Show Sign up newsletter selection","Näytä Ilmoittautuminen uutiskirjeen valintaan"
"You already have an account with us","Sinulla on jo tili kanssamme"
"Sign in","Kirjaudu sisään"
"continue as guest.","jatka vieraana."
"Street","katu"
"Style 1","Tyyli 1"
"Style 2","Tyyli 2"
"Style 3","Tyyli 3"
"The default country will be set based on location of the customer.","Oletusmaa määritetään asiakkaan sijainnin mukaan."
"There is an error while subscribing for newsletter.","Ilmoittautumisen yhteydessä on virhe."
"To calculate gift wrap fee based on item or order.","Voit laskea lahjapakkauspalkkion kohteen tai tilauksen perusteella."
"Unable to save order information. Please check input data.","Tilaustietoja ei voi tallentaa. Tarkista syöttötiedot."
"Use Auto Suggestion Technology","Käytä automaattista ehdotustekniikkaa"
"When customer fills address fields, it will suggest a list of full addresses.","Kun asiakas täyttää osoiterivit, se ehdottaa luetteloa täydellisistä osoitteista."
"Year/Month/Day","Vuosi / kuukausi / päivä"
"You can disable Order Review Section. It is enabled by default.","Voit poistaa tilauksen tarkistuskappaleen käytöstä. Se on otettu käyttöön oletuksena."
