"-- Please select --","-- בבקשה תבחר --"
"1 Column","עמודה אחת"
"2 Columns","2 עמודות"
"3 Columns","3 עמודות"
"3 Columns With Colspan","3 עמודות עם Colspan"
"Example: .step-title{background-color: #1979c3;}","דוגמה: .step-title {background-color: # 1979c3;}"
"AVAILABLE FIELDS","שדות זמינים"
"Add","לְהוֹסִיף"
"Additional Content","תוכן נוסף"
"Additional Information","מידע נוסף"
"After Adding a Product Redirect to OneStepCheckout Page","לאחר הוספת הפניה למוצר לדף OneStepCheckout"
"All fields have been saved.","כל השדות נשמרו."
"Allow Customer Add Other Option","אפשר ללקוח להוסיף אפשרות אחרת"
"Allow Guest Checkout","אפשר תשלום אורח"
"Allow checking out as a guest. Guest can create an account in the checkout page.","אפשר לבדוק כאורח. אורח יכול ליצור חשבון בדף התשלום."
"Allow customer comment in order.","אפשר תגובה של לקוחות לפי הסדר."
"Allow customers can billing to a different address from billing address.","אפשר ללקוחות לבצע חיוב לכתובת אחרת מכתובת החיוב."
"Amount","כמות"
"Calculate Method","חישוב שיטה"
"Can Show Billing Address","ניתן להציג כתובת לחיוב"
"Capture+ Key","לכידת + מקש"
"Capture+ by PCA Predict","לכידת + על ידי PCA לחזות"
"Checked Newsletter by default","כברירת מחדל, ניוזלטר מסומן"
"Checkout Page Layout","פריסת דף Checkout"
"Could not add gift wrap for this quote","לא ניתן להוסיף גלישת מתנות עבור הצעת מחיר זו"
"Could not remove item from quote","לא ניתן להסיר פריט מציטוט"
"Could not update item from quote","לא ניתן לעדכן פריט מתוך הצעת מחיר"
"Custom Css","CSS מותאם אישית"
"Date Format","פורמט תאריך"
"Day/Month/Year","יום חודש שנה"
"Days Off","ימי חופש"
"Default","בְּרִירַת מֶחדָל"
"Default Payment Method","שיטת תשלום ברירת מחדל"
"Default Shipping Method","שיטת משלוח ברירת מחדל"
"Delivery Time","זמן משלוח"
"Design Configuration","תצורת עיצוב"
"Design Style","סגנון עיצוב"
"Display Configuration","תצוגת תצוגה"
"Enable Delivery Time","אפשר זמן אספקה"
"Enable Gift Message","אפשר הודעת מתנה"
"Enable Gift Wrap","אפשר גלישת מתנות"
"Enable One Step Checkout","אפשר בצעד אחד"
"Enable Social Login On Checkout Page","אפשר כניסה חברתית בדף Checkout"
"Enable Survey","הפעל סקר"
"Enter the amount of gift wrap fee.","הזן את כמות דמי מתנה לעטוף."
"Error during save field position.","שגיאה במהלך מיקום השדה שמור."
"Manage Fields","Manage Fields"
"Flat","שָׁטוּחַ"
"General Configuration","תצורה כללית"
"Gift Wrap","אריזות מתנה"
"Google","Google"
"Google Api Key","מפתח Google Api"
"HTML allowed","HTML מותר"
"Heading Background Color","כותרת צבע רקע"
"Heading Text Color","כותרת צבע כותרת"
"IP Country Lookup","בדיקת ארץ IP"
"In Payment Area","באזור תשלום"
"In Review Area","באזור סקירה"
"It will show on success page","הוא יופיע בדף ההצלחה"
"Material","חוֹמֶר"
"Month/Day/Year","חודש יום שנה"
"No","לא"
"One Step Checkout","שלב אחד Checkout"
"One Step Checkout Description","תיאור שלב אחד Checkout"
"One Step Checkout Page Title","שלב אחד Checkout כותרת הדף"
"One step checkout is turned off.","קופה אחת מופעלת."
"Options","אפשרויות"
"Order Comment","תגובה להזמנה"
"Order Survey","סקר הזמנה"
"Per Item","פריט"
"Per Order","לפי הזמנה"
"Place Order button color","לחץ על הלחצן 'צבע הזמנה'"
"Restrict the auto suggestion for a specific country","הגבל את ההצעה האוטומטית עבור ארץ ספציפית"
"SORTED FIELDS","שדות משוריינים"
"Save Position","תישאר בפוזיטציה"
"Set default payment method in the checkout process.","הגדר את ברירת המחדל של אמצעי התשלום בתהליך התשלום."
"Set default shipping method in the checkout process.","הגדר שיטת ברירת מחדל למשלוח בתהליך היציאה."
"Show Discount Code Section","הצג סעיף קוד הנחה"
"Show Login Link","הצג קישור התחברות"
"Show Newsletter Checkbox","הצג תיבת סימון של עלונים"
"Show Order Comment","הצג תגובה להזמנה"
"Show Order Review Section","הצג פריט סקירה"
"Show Product Thumbnail Image","הצג תמונה ממוזערת של המוצר"
"Show Sign up newsletter selection","הצג רישום הרשמה לניוזלטר"
"You already have an account with us","כבר יש לך חשבון אצלנו"
"Sign in","היכנס"
"continue as guest.","המשך כאורח."
"Street","רְחוֹב"
"Style 1","סגנון 1"
"Style 2","סגנון 2"
"Style 3","סגנון 3"
"The default country will be set based on location of the customer.","מדינת ברירת המחדל תוגדר בהתאם למיקום הלקוח."
"There is an error while subscribing for newsletter.","אירעה שגיאה בעת ההרשמה לניוזלטר."
"To calculate gift wrap fee based on item or order.","כדי לחשב דמי לעטוף מתנה מבוסס על פריט או סדר."
"Unable to save order information. Please check input data.","לא ניתן לשמור פרטי הזמנה. בדוק נתוני קלט."
"Use Auto Suggestion Technology","השתמש בטכנולוגיה של הצעה אוטומטית"
"When customer fills address fields, it will suggest a list of full addresses.","כאשר הלקוח ממלא שדות כתובת, הוא יציע רשימה של כתובות מלאות."
"Year/Month/Day","שנה חודש יום"
"You can disable Order Review Section. It is enabled by default.","ניתן להשבית את 'סקירת סקירת פריטים'. הוא מופעל כברירת מחדל."
