"-- Please select --","-- Kérlek, válassz --"
"1 Column","1 oszlop"
"2 Columns","2 oszlop"
"3 Columns","3 oszlop"
"3 Columns With Colspan","3 oszlop Colspánnal"
"Example: .step-title{background-color: #1979c3;}","Példa: .step-title {háttérszín: # 1979c3;}"
"AVAILABLE FIELDS","ELÉRHETŐ TERÜLETEK"
"Add","hozzáad"
"Additional Content","További tartalom"
"Additional Information","további információ"
"After Adding a Product Redirect to OneStepCheckout Page","A termék átirányítása hozzáadása a OneStepCheckout oldalra"
"All fields have been saved.","Minden mező mentésre került."
"Allow Customer Add Other Option","Engedélyezze az ügyfél számára, hogy hozzáadjon másik opciót"
"Allow Guest Checkout","Engedélyezze a Vendég fizetést"
"Allow checking out as a guest. Guest can create an account in the checkout page.","Engedje meg, hogy vendégként látogasson el. A vendég létrehozhat egy fiókot a fizetési oldalon."
"Allow customer comment in order.","Hagyja jóvá az ügyfelek véleményét."
"Allow customers can billing to a different address from billing address.","Az ügyfelek számlázási címet adhatnak más címre."
"Amount","Összeg"
"Calculate Method","Számítási módszer"
"Can Show Billing Address","Számlázási címet jeleníthet meg"
"Capture+ Key","Capture + Key"
"Capture+ by PCA Predict","Capture + a PCA Predict segítségével"
"Checked Newsletter by default","Alapértelmezés szerint ellenőrzött hírlevél"
"Checkout Page Layout","Pénztáras elrendezés"
"Could not add gift wrap for this quote","Nem lehet hozzáadni ajándékcsomagot ehhez az ajánlathoz"
"Could not remove item from quote","Nem sikerült eltávolítani az elemet az ajánlatból"
"Could not update item from quote","Nem lehet frissíteni az elemet az ajánlatból"
"Custom Css","Egyéni Css"
"Date Format","Dátum formátum"
"Day/Month/Year","Nap hónap év"
"Days Off","Szünet"
"Default","Alapértelmezett"
"Default Payment Method","Alapértelmezett fizetési mód"
"Default Shipping Method","Alapértelmezett szállítási mód"
"Delivery Time","Szállítási idő"
"Design Configuration","Designkonfiguráció"
"Design Style","Design stílus"
"Display Configuration","Display Configuration (Konfiguráció megjelenítése)"
"Enable Delivery Time","Engedélyezze a szállítási időt"
"Enable Gift Message","Engedélyezze az ajándéküzenetet"
"Enable Gift Wrap","Engedélyezze az ajándékcsomagot"
"Enable One Step Checkout","Engedélyezze a One Step Checkout szolgáltatást"
"Enable Social Login On Checkout Page","Engedélyezze a bejelentkezés bejelentkezési oldalát"
"Enable Survey","Felmérés engedélyezése"
"Enter the amount of gift wrap fee.","Adja meg az ajándékkötési díj összegét."
"Error during save field position.","Hiba a mentési mezőben."
"Manage Fields","Manage Fields"
"Flat","Lakás"
"General Configuration","Általános konfiguráció"
"Gift Wrap","Ajándékcsomagolás"
"Google","Google"
"Google Api Key","Google Api kulcs"
"HTML allowed","HTML engedélyezett"
"Heading Background Color","A háttérszín színének megnevezése"
"Heading Text Color","Címsor szöveg színe"
"IP Country Lookup","IP Country Lookup"
"In Payment Area","Fizetési területen"
"In Review Area","A Felülvizsgálati területen"
"It will show on success page","A sikeroldalon fog megjelenni"
"Material","Anyag"
"Month/Day/Year","Hónap nap év"
"No","Nem"
"One Step Checkout","Egylépéses fizetés"
"One Step Checkout Description","Egylépéses fizetés leírása"
"One Step Checkout Page Title","Egylépéses Checkout oldal cím"
"One step checkout is turned off.","Az egylépéses fizetés ki van kapcsolva."
"Options","Lehetőségek"
"Order Comment","Hozzászólás megrendelése"
"Order Survey","Rendelési felmérés"
"Per Item","Darabonként"
"Per Order","Rendelésenként"
"Place Order button color","Rendezési sorrend színe"
"Restrict the auto suggestion for a specific country","Korlátozza az automatikus javaslatot egy adott országban"
"SORTED FIELDS","RÉSZTETT TERÜLETEK"
"Save Position","Pozíció mentése"
"Set default payment method in the checkout process.","Állítsa be az alapértelmezett fizetési módot a fizetési folyamatban."
"Set default shipping method in the checkout process.","Állítsa be az alapértelmezett szállítási módot a fizetési folyamatban."
"Show Discount Code Section","Mutassa meg a kedvezménykódot"
"Show Login Link","Bejelentkezési link megjelenítése"
"Show Newsletter Checkbox","Hírlevél jelölőnégyzet megjelenítése"
"Show Order Comment","Megrendelés megjelenítése"
"Show Order Review Section","Rendelési áttekintés rész megjelenítése"
"Show Product Thumbnail Image","Mutassa a termék miniatűr képét"
"Show Sign up newsletter selection","Megjeleníti a hírlevél feliratkozását"
"You already have an account with us","Már van számlád velünk"
"Sign in","Bejelentkezés"
"continue as guest.","folytatás vendégként."
"Street","utca"
"Style 1","1. stílus"
"Style 2","2. stílus"
"Style 3","3. stílus"
"The default country will be set based on location of the customer.","Az alapértelmezett ország az ügyfél helyének megfelelően kerül beállításra."
"There is an error while subscribing for newsletter.","Hiba történt a hírlevél feliratkozása közben."
"To calculate gift wrap fee based on item or order.","Az ajándékozás díjának kiszámításához tételenként vagy rendelés alapján."
"Unable to save order information. Please check input data.","A rendelési információk mentése nem sikerült. Kérjük, ellenőrizze a bemeneti adatokat."
"Use Auto Suggestion Technology","Használja az Auto Suggestion technológiát"
"When customer fills address fields, it will suggest a list of full addresses.","Amikor az ügyfél kitölti a címeket, akkor a teljes címek listáját javasolja."
"Year/Month/Day","Év hónap nap"
"You can disable Order Review Section. It is enabled by default.","Letilthatja a Megrendelés áttekintése részt. Alapértelmezés szerint engedélyezve van."
