"-- Please select --","Silahkan pilih"
"1 Column","1 Kolom"
"2 Columns","2 kolom"
"3 Columns","3 kolom"
"3 Columns With Colspan","3 kolom dengan colspan"
"Example: .step-title{background-color: #1979c3;}","Contoh: .langkah-title{background-color: #1979c3;}"
"AVAILABLE FIELDS","BIDANG YANG TERSEDIA"
"Add","Tambahkan"
"Additional Content","Konten Tambahan"
"Additional Information","Informasi Tambahan"
"After Adding a Product Redirect to OneStepCheckout Page","Setelah Menambahkan Produk Redirect ke Halaman OneStepCheckout"
"All fields have been saved.","Semua bidang telah diselamatkan."
"Allow Customer Add Other Option","Memungkinkan Pelanggan Tambahkan Pilihan Lain"
"Allow Guest Checkout","Memungkinkan Guest Checkout"
"Allow checking out as a guest. Guest can create an account in the checkout page.","Memungkinkan untuk memeriksa sebagai tamu. Tamu dapat membuat akun di halaman periksa."
"Allow customer comment in order.","Memungkinkan pelanggan komentar di order."
"Allow customers can billing to a different address from billing address.","Memungkinkan pelanggan dapat melakukan penagihan ke alamat yang berbeda dari alamat penagihan."
"Amount","Jumlah"
"Calculate Method","Menghitung Metode"
"Can Show Billing Address","Dapat Menunjukkan Alamat Penagihan"
"Capture+ Key","Menangkap+ Kunci"
"Capture+ by PCA Predict","Menangkap+ oleh PCA Memprediksi"
"Checked Newsletter by default","Memeriksa laporan Berkala secara default"
"Checkout Page Layout","Tata Letak Halaman Checkout"
"Could not add gift wrap for this quote","Tidak bisa menambahkan pembungkus kado untuk kutipan ini"
"Could not remove item from quote","Tidak dapat menghapus item dari kutipan"
"Could not update item from quote","Tidak bisa memperbarui item dari kutipan"
"Custom Css","Kustom Css"
"Date Format","Format Tanggal"
"Day/Month/Year","Hari/Bulan/Tahun"
"Days Off","Hari Libur"
"Default","Kegagalan"
"Default Payment Method","Kegagalan Pembayaran Metode"
"Default Shipping Method","Kegagalan Pengiriman Metode"
"Delivery Time","Waktu Pengiriman"
"Design Configuration","Desain Konfigurasi"
"Design Style","Gaya Desain"
"Display Configuration","Tampilan Konfigurasi"
"Enable Delivery Time","Aktifkan Waktu Pengiriman"
"Enable Gift Message","Aktifkan Hadiah Pesan"
"Enable Gift Wrap","Aktifkan Hadiah Bungkus"
"Enable One Step Checkout","Mengaktifkan satu langkah Checkout"
"Enable Social Login On Checkout Page","Mengaktifkan Login Sosial Pada Halaman Checkout"
"Enable Survey","Aktifkan Survei"
"Enter the amount of gift wrap fee.","Masukkan jumlah bungkus hadiah biaya."
"Error during save field position.","Kesalahan saat menyimpan posisi lapangan."
"Manage Fields","Manage Fields"
"Flat","Datar"
"General Configuration","Konfigurasi Umum"
"Gift Wrap","Bungkus Hadiah"
"Google","Google"
"Google Api Key","Kunci google Api"
"HTML allowed","HTML diperbolehkan"
"Heading Background Color","Judul Latar Belakang Warna"
"Heading Text Color","Judul Teks Warna"
"IP Country Lookup","Pencarian IP Negara"
"In Payment Area","Di Area Pembayaran"
"In Review Area","Di Area Ulasan"
"It will show on success page","Ini akan menunjukkan pada halaman sukses"
"Material","Bahan"
"Month/Day/Year","Bulan/Hari/Tahun"
"No","Tidak"
"One Step Checkout","Salah Satu Langkah Periksa"
"One Step Checkout Description","Salah Satu Langkah Checkout Keterangan"
"One Step Checkout Page Title","Salah Satu Langkah Checkout Halaman Judul"
"One step checkout is turned off.","Salah satu langkah periksa dimatikan."
"Options","Pilihan"
"Order Comment","Memesan Komentar"
"Order Survey","Order Survey"
"Per Item","Per Item"
"Per Order","Urutan"
"Place Order button color","Tempat pesan tombol warna"
"Restrict the auto suggestion for a specific country","Restrict the auto suggestion for a specific country"
"SORTED FIELDS","DIURUTKAN BIDANG"
"Save Position","Simpan posisi"
"Set default payment method in the checkout process.","Set default payment method in the checkout process."
"Set default shipping method in the checkout process.","Set default metode pengiriman di proses checkout."
"Show Discount Code Section","Tampilkan Kode Diskon Seksi"
"Show Login Link","Tampilkan Link Masuk"
"Show Newsletter Checkbox","Tampilkan Newsletter Centang"
"Show Order Comment","Menunjukkan Urutan Komentar"
"Show Order Review Section","Menunjukkan Urutan Bagian Review"
"Show Product Thumbnail Image","Tampilkan Gambar Thumbnail Produk"
"Show Sign up newsletter selection","Show Sign up newsletter selection"
"You already have an account with us","Anda sudah memiliki account dengan kami"
"Sign in","Masuk"
"continue as guest.","lanjutkan sebagai tamu."
"Street","Jalan"
"Style 1","Gaya 1"
"Style 2","Gaya 2"
"Style 3","Gaya 3"
"The default country will be set based on location of the customer.","Negara default akan ditetapkan berdasarkan lokasi pelanggan."
"There is an error while subscribing for newsletter.","Ada kesalahan pada saat mendaftar untuk newsletter."
"To calculate gift wrap fee based on item or order.","Untuk menghitung bungkus hadiah biaya berdasarkan item atau perintah."
"Unable to save order information. Please check input data.","Mampu menyimpan informasi order. Silahkan periksa input data."
"Use Auto Suggestion Technology","Menggunakan Auto Sugesti Teknologi"
"When customer fills address fields, it will suggest a list of full addresses.","Ketika pelanggan mengisi kolom alamat, itu akan menunjukkan daftar lengkap alamat."
"Year/Month/Day","Hari/tahun/bulan"
"You can disable Order Review Section. It is enabled by default.","Anda dapat menonaktifkan Urutan Bagian Review. Hal ini diaktifkan secara default."
