"-- Please select --","-- 선택 해주세요 --"
"1 Column","1 칼럼"
"2 Columns","2 열"
"3 Columns","3 열"
"3 Columns With Colspan","Colspan으로 3 열"
"Example: .step-title{background-color: #1979c3;}","예 : .step-title {background-color : # 1979c3}"
"AVAILABLE FIELDS","사용 가능한 필드"
"Add","더하다"
"Additional Content","추가 콘텐츠"
"Additional Information","추가 정보"
"After Adding a Product Redirect to OneStepCheckout Page","OneStepCheckout 페이지로 제품 리디렉션을 추가 한 후"
"All fields have been saved.","모든 입력란이 저장되었습니다."
"Allow Customer Add Other Option","고객이 다른 옵션 추가 허용"
"Allow Guest Checkout","손님 체크 아웃 허용"
"Allow checking out as a guest. Guest can create an account in the checkout page.","게스트로 체크 아웃 할 수 있습니다. 게스트는 결제 페이지에서 계정을 만들 수 있습니다."
"Allow customer comment in order.","고객 의견을 순서대로 기재하십시오."
"Allow customers can billing to a different address from billing address.","고객은 청구서 수신 주소와 다른 주소로 청구 할 수 있습니다."
"Amount","양"
"Calculate Method","방법 계산"
"Can Show Billing Address","청구서 수신 주소 표시 가능"
"Capture+ Key","캡쳐 + 키"
"Capture+ by PCA Predict","PCA에 의한 캡쳐 + 예측"
"Checked Newsletter by default","기본적으로 체크 된 뉴스 레터"
"Checkout Page Layout","체크 아웃 페이지 레이아웃"
"Could not add gift wrap for this quote","이 견적에 선물 포장을 추가 할 수 없습니다."
"Could not remove item from quote","견적에서 항목을 삭제할 수 없습니다."
"Could not update item from quote","견적에서 항목을 업데이트 할 수 없습니다."
"Custom Css","사용자 정의 CSS"
"Date Format","날짜 형식"
"Day/Month/Year","일 / 월 / 년"
"Days Off","휴가"
"Default","태만"
"Default Payment Method","기본 지불 방법"
"Default Shipping Method","기본 배송 방법"
"Delivery Time","배달 시간"
"Design Configuration","디자인 구성"
"Design Style","디자인 스타일"
"Display Configuration","디스플레이 구성"
"Enable Delivery Time","배달 시간 사용"
"Enable Gift Message","선물 메시지 사용"
"Enable Gift Wrap","선물 포장 사용"
"Enable One Step Checkout","원 스텝 체크 아웃 사용"
"Enable Social Login On Checkout Page","Checkout 페이지에서 소셜 로그인 사용"
"Enable Survey","설문 조사 사용"
"Enter the amount of gift wrap fee.","선물 포장 금액을 입력하십시오."
"Error during save field position.","필드 위치를 저장하는 중 오류가 발생했습니다."
"Manage Fields","Manage Fields"
"Flat","플랫"
"General Configuration","일반 구성"
"Gift Wrap","선물 포장"
"Google","Google"
"Google Api Key","Google Api Key"
"HTML allowed","HTML 허용됨"
"Heading Background Color","제목 배경색"
"Heading Text Color","제목 텍스트 색"
"IP Country Lookup","IP 국가 조회"
"In Payment Area","지불 영역"
"In Review Area","검토 영역"
"It will show on success page","성공 페이지에 표시됩니다."
"Material","자료"
"Month/Day/Year","월 일 년"
"No","아니"
"One Step Checkout","원 스텝 체크 아웃"
"One Step Checkout Description","원 스텝 체크 아웃 설명"
"One Step Checkout Page Title","원 스텝 체크 아웃 페이지 제목"
"One step checkout is turned off.","한 단계 체크 아웃이 꺼져 있습니다."
"Options","옵션"
"Order Comment","주문 설명"
"Order Survey","주문 설문 조사"
"Per Item","항목 별"
"Per Order","주문 당"
"Place Order button color","주문 버튼 색상"
"Restrict the auto suggestion for a specific country","특정 국가에 대한 자동 제안 제한"
"SORTED FIELDS","정렬 된 필드"
"Save Position","위치 저장"
"Set default payment method in the checkout process.","결제 프로세스에서 기본 결제 수단을 설정합니다."
"Set default shipping method in the checkout process.","체크 아웃 프로세스에서 기본 운송 방법을 설정하십시오."
"Show Discount Code Section","할인 코드 섹션 표시"
"Show Login Link","로그인 링크 표시"
"Show Newsletter Checkbox","뉴스 레터 확인란 표시"
"Show Order Comment","주문 댓글 표시"
"Show Order Review Section","주문 검토 섹션 표시"
"Show Product Thumbnail Image","제품 축소판 이미지 표시"
"Show Sign up newsletter selection","쇼 가입 뉴스 레터 선택"
"You already have an account with us","너는 이미 우리와 함께 계좌를 가지고있다."
"Sign in","로그인"
"continue as guest.","손님으로 계속하십시오."
"Street","거리"
"Style 1","스타일 1"
"Style 2","스타일 2"
"Style 3","스타일 3"
"The default country will be set based on location of the customer.","기본 국가는 고객의 위치에 따라 설정됩니다."
"There is an error while subscribing for newsletter.","뉴스 레터를 구독하는 중에 오류가 발생했습니다."
"To calculate gift wrap fee based on item or order.","항목 또는 주문을 기준으로 선물 포장 요금을 계산합니다."
"Unable to save order information. Please check input data.","주문 정보를 저장할 수 없습니다. 입력 데이터를 확인하십시오."
"Use Auto Suggestion Technology","자동 제안 기술 사용"
"When customer fills address fields, it will suggest a list of full addresses.","고객이 주소 필드를 채우면 전체 주소 목록을 제안합니다."
"Year/Month/Day","년 / 월 / 일"
"You can disable Order Review Section. It is enabled by default.","주문 검토 섹션을 비활성화 할 수 있습니다. 기본적으로 사용하도록 설정되어 있습니다."
