"-- Please select --","-- Selecteren --"
"1 Column","1 kolom"
"2 Columns","2 kolommen"
"3 Columns","3 kolommen"
"3 Columns With Colspan","3 Kolommen Met Colspan"
"Example: .step-title{background-color: #1979c3;}","Voorbeeld: .step-title {background-color: # 1979c3;}"
"AVAILABLE FIELDS","BESCHIKBARE GEBIEDEN"
"Add","Toevoegen"
"Additional Content","Extra inhoud"
"Additional Information","Extra informatie"
"After Adding a Product Redirect to OneStepCheckout Page","Na het toevoegen van een Product Redirect naar OneStepCheckout Page"
"All fields have been saved.","Alle velden zijn opgeslagen."
"Allow Customer Add Other Option","Laat de klant toe om andere mogelijkheden toe te voegen"
"Allow Guest Checkout","Laat de gasten uitchecken"
"Allow checking out as a guest. Guest can create an account in the checkout page.","Laat het uitchecken als gast. Gasten kunnen een account aanmaken op de kassa pagina."
"Allow customer comment in order.","Laat klant commentaar in volgorde."
"Allow customers can billing to a different address from billing address.","Sta klanten toe om op een ander adres te factureren vanaf factuuradres."
"Amount","Bedrag"
"Calculate Method","Bereken methode"
"Can Show Billing Address","Kan factuuradres weergeven"
"Capture+ Key","Capture + Key"
"Capture+ by PCA Predict","Capture + door PCA Predict"
"Checked Newsletter by default","Gecontroleerde nieuwsbrief standaard"
"Checkout Page Layout","Checkout Pagina Layout"
"Could not add gift wrap for this quote","Kan cadeauwrap voor dit citaat niet toevoegen"
"Could not remove item from quote","Kon het item niet van het citaat verwijderen"
"Could not update item from quote","Kon het item niet van het citaat bijwerken"
"Custom Css","Aangepaste Css"
"Date Format","Datumnotatie"
"Day/Month/Year","Dag maand jaar"
"Days Off","Vrije dagen"
"Default","Standaard"
"Default Payment Method","Standaard betalingsmethode"
"Default Shipping Method","Standaard verzendmethode"
"Delivery Time","Tijd om te bezorgen"
"Design Configuration","Ontwerpconfiguratie"
"Design Style","Design Style"
"Display Configuration","Display configuratie"
"Enable Delivery Time","Schakel Levertijd in"
"Enable Gift Message","Cadeaubericht inschakelen"
"Enable Gift Wrap","Cadeaupapier inschakelen"
"Enable One Step Checkout","Schakel één stapcontrole in"
"Enable Social Login On Checkout Page","Sociale login inschakelen op de kassa pagina"
"Enable Survey","Enquête inschakelen"
"Enter the amount of gift wrap fee.","Voer het bedrag van de cadeauverpakking in."
"Error during save field position.","Fout tijdens opslaan veld positie."
"Manage Fields","Manage Fields"
"Flat","Vlak"
"General Configuration","Algemene configuratie"
"Gift Wrap","Cadeaupapier"
"Google","Google"
"Google Api Key","Google Api Key"
"HTML allowed","HTML toegestaan"
"Heading Background Color","Achtergrondkleur Achtergrond"
"Heading Text Color","Tekst Tekst Kleur"
"IP Country Lookup","IP Land Lookup"
"In Payment Area","In Betaalgebied"
"In Review Area","In review gebied"
"It will show on success page","Het zal op succes pagina tonen"
"Material","Materiaal"
"Month/Day/Year","Maand dag jaar"
"No","Nee"
"One Step Checkout","One Step Checkout"
"One Step Checkout Description","One Step Checkout Beschrijving"
"One Step Checkout Page Title","One Step Checkout Page Title"
"One step checkout is turned off.","Een stapcontrole is uitgeschakeld."
"Options","opties"
"Order Comment","Bestelling Commentaar"
"Order Survey","Order Survey"
"Per Item","Per stuk"
"Per Order","Per bestelling"
"Place Order button color","Plaats de bestelknop kleur"
"Restrict the auto suggestion for a specific country","Beperk de automatische suggestie voor een bepaald land"
"SORTED FIELDS","GEVORMDE GEBIEDEN"
"Save Position","Veilige positie"
"Set default payment method in the checkout process.","Stel de standaard betaalmethode in de kassa."
"Set default shipping method in the checkout process.","Stel standaard verzendmethode in de kassa."
"Show Discount Code Section","Toon kortingcode sectie"
"Show Login Link","Toon Login Link"
"Show Newsletter Checkbox","Toon Nieuwsbrief Checkbox"
"Show Order Comment","Toon orderopmerking"
"Show Order Review Section","Toon Order Review Section"
"Show Product Thumbnail Image","Toon product miniatuurafbeelding"
"Show Sign up newsletter selection","Toon aanmelden nieuwsbrief selectie"
"You already have an account with us","U heeft al een account bij ons"
"Sign in","Aanmelden"
"continue as guest.","Ga door als gast."
"Street","Straat"
"Style 1","Stijl 1"
"Style 2","Stijl 2"
"Style 3","Stijl 3"
"The default country will be set based on location of the customer.","Het standaard land wordt ingesteld op basis van de locatie van de klant."
"There is an error while subscribing for newsletter.","Er is een fout bij het inschrijven voor de nieuwsbrief."
"To calculate gift wrap fee based on item or order.","Om cadeauwrapkosten te berekenen op basis van item of bestelling."
"Unable to save order information. Please check input data.","Kan bestelinformatie niet opslaan. Controleer de invoergegevens."
"Use Auto Suggestion Technology","Gebruik de automatische suggestie technologie"
"When customer fills address fields, it will suggest a list of full addresses.","Wanneer de klant invult velden, zal het een lijst van volledige adressen voorstellen."
"Year/Month/Day","Jaar maand dag"
"You can disable Order Review Section. It is enabled by default.","U kunt Order Review Section uitschakelen. Het is standaard ingeschakeld."
