"-- Please select --","-- Vennligst velg --"
"1 Column","1 kolonne"
"2 Columns","2 kolonner"
"3 Columns","3 kolonner"
"3 Columns With Colspan","3 kolonner med Colspan"
"Example: .step-title{background-color: #1979c3;}","Eksempel: .step-tittel {bakgrunnsfarge: # 1979c3;}"
"AVAILABLE FIELDS","TILGJENGELIGE FELLER"
"Add","Legg til"
"Additional Content","Tilleggsinnhold"
"Additional Information","Tilleggsinformasjon"
"After Adding a Product Redirect to OneStepCheckout Page","Etter at du har lagt til en omdirigering av produkt til OneStepCheckout-siden"
"All fields have been saved.","Alle feltene er lagret."
"Allow Customer Add Other Option","Tillat at kunden legger til et annet alternativ"
"Allow Guest Checkout","Tillat Guest Checkout"
"Allow checking out as a guest. Guest can create an account in the checkout page.","Tillat å sjekke ut som gjest. Gjest kan opprette en konto i kassen siden."
"Allow customer comment in order.","Tillat kundekommentar i rekkefølge."
"Allow customers can billing to a different address from billing address.","Tillat at kunder kan fakturere til en annen adresse fra faktureringsadresse."
"Amount","Beløp"
"Calculate Method","Beregn metode"
"Can Show Billing Address","Kan vise faktureringsadresse"
"Capture+ Key","Capture + Key"
"Capture+ by PCA Predict","Capture + ved PCA Predict"
"Checked Newsletter by default","Sjekket nyhetsbrev som standard"
"Checkout Page Layout","Sjekk ut sidelayout"
"Could not add gift wrap for this quote","Kunne ikke legge til gavepakke for dette sitatet"
"Could not remove item from quote","Kunne ikke fjerne element fra sitat"
"Could not update item from quote","Kunne ikke oppdatere element fra sitat"
"Custom Css","Tilpasset Css"
"Date Format","Datoformat"
"Day/Month/Year","Dag / måned / år"
"Days Off","Fridager"
"Default","Misligholde"
"Default Payment Method","Standard betalingsmetode"
"Default Shipping Method","Standard leveringsmetode"
"Delivery Time","Leveringstid"
"Design Configuration","Designkonfigurasjon"
"Design Style","Design stil"
"Display Configuration","Skjermkonfigurasjon"
"Enable Delivery Time","Aktiver leveringstid"
"Enable Gift Message","Aktiver gavemelding"
"Enable Gift Wrap","Aktiver gavepakke"
"Enable One Step Checkout","Aktiver One Step Checkout"
"Enable Social Login On Checkout Page","Aktiver sosial pålogging på kassen siden"
"Enable Survey","Aktiver undersøkelse"
"Enter the amount of gift wrap fee.","Skriv inn mengden gavepakkeavgift."
"Error during save field position.","Feil under lagringsfeltposisjon."
"Manage Fields","Manage Fields"
"Flat","Flat"
"General Configuration","Generell konfigurasjon"
"Gift Wrap","Gavepapir"
"Google","Google"
"Google Api Key","Google Api-nøkkel"
"HTML allowed","HTML tillatt"
"Heading Background Color","Overskrift Bakgrunnsfarge"
"Heading Text Color","Overskrift Tekstfarge"
"IP Country Lookup","IP Land Lookup"
"In Payment Area","I betalingsområdet"
"In Review Area","I Review Area"
"It will show on success page","Det vil vise på suksess siden"
"Material","Materiale"
"Month/Day/Year","Måned dag år"
"No","Nei"
"One Step Checkout","One Step Checkout"
"One Step Checkout Description","One Step Checkout Beskrivelse"
"One Step Checkout Page Title","One Step Checkout Side Tittel"
"One step checkout is turned off.","Én trinns kassa er slått av."
"Options","alternativer"
"Order Comment","Bestill kommentar"
"Order Survey","Bestillingsundersøkelse"
"Per Item","Per stykk"
"Per Order","Per ordre"
"Place Order button color","Plasser bestillingsfarge"
"Restrict the auto suggestion for a specific country","Begrens automatisk forslaget til et bestemt land"
"SORTED FIELDS","SORTEDE OMRÅDER"
"Save Position","Lagre posisjon"
"Set default payment method in the checkout process.","Angi standard betalingsmetode i kassen."
"Set default shipping method in the checkout process.","Angi standard leveringsmetode i kassen."
"Show Discount Code Section","Vis rabattkode-delen"
"Show Login Link","Vis loggforbindelsen"
"Show Newsletter Checkbox","Vis nyhetsbrev-boksen"
"Show Order Comment","Vis bestillings kommentar"
"Show Order Review Section","Vis bestillingsoversikt Seksjon"
"Show Product Thumbnail Image","Vis produktminaturbilde"
"Show Sign up newsletter selection","Vis Registrer nyhetsbrev utvalg"
"You already have an account with us","Du har allerede en konto hos oss"
"Sign in","Logg inn"
"continue as guest.","Fortsett som gjest."
"Street","gate"
"Style 1","Stil 1"
"Style 2","Stil 2"
"Style 3","Stil 3"
"The default country will be set based on location of the customer.","Standardlandet vil bli angitt basert på kundens beliggenhet."
"There is an error while subscribing for newsletter.","Det er en feil mens du abonnerer på nyhetsbrev."
"To calculate gift wrap fee based on item or order.","Å beregne gavepakkeavgift basert på vare eller bestilling."
"Unable to save order information. Please check input data.","Kan ikke lagre bestillingsinformasjon. Vennligst sjekk inndataene."
"Use Auto Suggestion Technology","Bruk Auto Suggestion Technology"
"When customer fills address fields, it will suggest a list of full addresses.","Når kunden fyller adressefelt, vil det foreslå en liste over fulle adresser."
"Year/Month/Day","År / måned / dag"
"You can disable Order Review Section. It is enabled by default.","Du kan deaktivere Bestillingsavsnittet. Den er aktivert som standard."
