"-- Please select --","-- Proszę wybrać --"
"1 Column","1 kolumna"
"2 Columns","2 kolumny"
"3 Columns","3 kolumny"
"3 Columns With Colspan","3 kolumny z Colspan"
"Example: .step-title{background-color: #1979c3;}","Przykład: .step-title {background-color: # 1979c3;}"
"AVAILABLE FIELDS","DOSTĘPNE DZIEDZINY"
"Add","Dodaj"
"Additional Content","Dodatkowa treść"
"Additional Information","Dodatkowe informacje"
"After Adding a Product Redirect to OneStepCheckout Page","Po dodaniu przekierowania produktu do strony OneStepCheckout"
"All fields have been saved.","Wszystkie pola zostały zapisane."
"Allow Customer Add Other Option","Pozwól klientowi dodać inną opcję"
"Allow Guest Checkout","Zezwalaj na Gość"
"Allow checking out as a guest. Guest can create an account in the checkout page.","Pozwól sprawdzić się jako gość. Gość może założyć konto na stronie kasowej."
"Allow customer comment in order.","Zezwalaj na komentarze klientów w kolejności."
"Allow customers can billing to a different address from billing address.","Zezwalaj klientom na rozliczanie się z innego adresu z adresu rozliczeniowego."
"Amount","Ilość"
"Calculate Method","Oblicz metodę"
"Can Show Billing Address","Może wyświetlać adres rozliczeniowy"
"Capture+ Key","Klucz przechwytywania +"
"Capture+ by PCA Predict","Capture + przez PCA Predict"
"Checked Newsletter by default","Sprawdzone Newsletter domyślnie"
"Checkout Page Layout","Układ strony Checkout"
"Could not add gift wrap for this quote","Nie można dodać oblewania prezentem dla tego cytatu"
"Could not remove item from quote","Nie można usunąć elementu z oferty"
"Could not update item from quote","Nie można zaktualizować elementu z cytatu"
"Custom Css","Niestandardowy CSS"
"Date Format","Format daty"
"Day/Month/Year","Dzień miesiąc rok"
"Days Off","Dni wolne"
"Default","Zaniedbanie"
"Default Payment Method","Domyślna metoda płatności"
"Default Shipping Method","Domyślna metoda wysyłki"
"Delivery Time","Czas dostawy"
"Design Configuration","Konfiguracja projektu"
"Design Style","Styl Projektowania"
"Display Configuration","Konfiguracja wyświetlania"
"Enable Delivery Time","Włącz czas dostawy"
"Enable Gift Message","Włącz wiadomość z upominkami"
"Enable Gift Wrap","Włącz zawijanie prezentów"
"Enable One Step Checkout","Włącz jedną krok Checkout"
"Enable Social Login On Checkout Page","Włącz logowanie socjalne na stronie usługi Checkout"
"Enable Survey","Włącz ankietę"
"Enter the amount of gift wrap fee.","Wprowadź kwotę opłaty z upominkami."
"Error during save field position.","Błąd podczas pola pola zapisu."
"Manage Fields","Manage Fields"
"Flat","Mieszkanie"
"General Configuration","Konfiguracja ogólna"
"Gift Wrap","Opakowanie na prezent"
"Google","Google"
"Google Api Key","Klucz Api Google"
"HTML allowed","Dozwolony HTML"
"Heading Background Color","Kolor tła nagłówka"
"Heading Text Color","Kolor tekstu nagłówkowego"
"IP Country Lookup","IP Wyszukiwanie kraju"
"In Payment Area","W obszarze płatności"
"In Review Area","W obszarze przeglądu"
"It will show on success page","Zostanie wyświetlone na stronie z sukcesem"
"Material","Materiał"
"Month/Day/Year","Miesiąc dzień rok"
"No","Nie"
"One Step Checkout","One Step Checkout"
"One Step Checkout Description","Opis krok po kroku"
"One Step Checkout Page Title","Jedna Strona Kroku Dokonania Strony"
"One step checkout is turned off.","Jeden krok kontroli jest wyłączony."
"Options","Opcje"
"Order Comment","Komentarz zlecenia"
"Order Survey","Zaplanuj zamówienie"
"Per Item","Za sztukę"
"Per Order","Na zamówienie"
"Place Order button color","Umieść kolor przycisku zamówienia"
"Restrict the auto suggestion for a specific country","Ogranicz propozycję automatyczną dla określonego kraju"
"SORTED FIELDS","SORTOWANE POLE"
"Save Position","Zachować pozycję"
"Set default payment method in the checkout process.","Ustaw domyślną metodę płatności w procesie wypłaty."
"Set default shipping method in the checkout process.","Ustaw domyślną metodę wysyłki w procesie wypłaty."
"Show Discount Code Section","Pokaż sekcję rabatów"
"Show Login Link","Pokaż link logowania"
"Show Newsletter Checkbox","Pokaż skrzynkę Checkbox"
"Show Order Comment","Pokaż zamówienie"
"Show Order Review Section","Pokaż sekcję przeglądu zamówienia"
"Show Product Thumbnail Image","Pokaż miniaturę produktu"
"Show Sign up newsletter selection","Pokaż Zarejestruj się do newslettera"
"You already have an account with us","Masz już konto u nas"
"Sign in","Zaloguj"
"continue as guest.","Kontynuuj jako gość."
"Street","Ulica"
"Style 1","Styl 1"
"Style 2","Styl 2"
"Style 3","Styl 3"
"The default country will be set based on location of the customer.","Domyślny kraj zostanie ustawiony na podstawie lokalizacji klienta."
"There is an error while subscribing for newsletter.","Podczas subskrypcji biuletynu wystąpił błąd."
"To calculate gift wrap fee based on item or order.","Aby obliczyć opłatę na prezent w zależności od przedmiotu lub zamówienia."
"Unable to save order information. Please check input data.","Nie można zapisać informacji o zamówieniu. Sprawdź dane wejściowe."
"Use Auto Suggestion Technology","Użyj technologii Auto Suggestion"
"When customer fills address fields, it will suggest a list of full addresses.","Gdy klient wypełnia pola adresowe, zaproponuje listę pełnych adresów."
"Year/Month/Day","Rok miesiąc dzień"
"You can disable Order Review Section. It is enabled by default.","Sekcję Recenzania zamówienia można wyłączyć. Domyślnie jest włączona."
