"-- Please select --","-- Selecione --"
"1 Column","1 coluna"
"2 Columns","2 Colunas"
"3 Columns","3 Colunas"
"3 Columns With Colspan","3 Colunas com Colspan"
"Example: .step-title{background-color: #1979c3;}","Exemplo: .step-title{background-color: #1979c3;}"
"AVAILABLE FIELDS","CAMPOS DISPONÍVEIS"
"Add","Adicionar"
"Additional Content","Conteúdo Adicional"
"Additional Information","Informação Adicional"
"After Adding a Product Redirect to OneStepCheckout Page","Depois de add um produto Redirecione para página do OneStepCheckout"
"All fields have been saved.","Todos os campos foram salvos."
"Allow Customer Add Other Option","Permitir ao Cliente adicionar outra opção"
"Allow Guest Checkout","Permitir Guest Checkout"
"Allow checking out as a guest. Guest can create an account in the checkout page.","Permitir conferir como visitante. Convidado pode criar uma conta na página de checkout."
"Allow customer comment in order.","Permitir o comentário do cliente no pedido."
"Allow customers can billing to a different address from billing address.","Permitir que os clientes possam add um endereço diferente do endereço de cobrança."
"Amount","Total"
"Calculate Method","Método de cálculo"
"Can Show Billing Address","Pode mostrar o endereço de cobrança"
"Capture+ Key","Capture + Key"
"Capture+ by PCA Predict","Capturar + por PCA Predict"
"Checked Newsletter by default","Boletim de notícias verificado por padrão"
"Checkout Page Layout","Layout do Checkout"
"Could not add gift wrap for this quote","Não foi possível adicionar pacote de presente para este pedido"
"Could not remove item from quote","Não foi possível remover o item do pedido"
"Could not update item from quote","Não foi possível remover o item do pedido"
"Custom Css","Personalizar CSS"
"Date Format","Formato da Data"
"Day/Month/Year","Dia/Mês/Ano"
"Days Off","Dias de folga"
"Default","Padrão"
"Default Payment Method","Método de Pagamento Default"
"Default Shipping Method","Método de envio padrão"
"Delivery Time","Tempo para Entrega"
"Design Configuration","Configuração de Design - Layout"
"Design Style","Estilo do Design"
"Display Configuration","Configuração de Design - Layout"
"Enable Delivery Time","Habilitar Tempo de entrega"
"Enable Gift Message","Permitir mensagem de presente"
"Enable Gift Wrap","Hbailitar Enviar como Presente - Gift Wrap"
"Enable One Step Checkout","Habilitar One Page Checkout"
"Enable Social Login On Checkout Page","Ativar login social na página de checkout"
"Enable Survey","Habilitar a pesquisa"
"Enter the amount of gift wrap fee.","Digite o valor da taxa de embrulho para presente."
"Error during save field position.","Erro durante a salvação da posição do campo."
"Manage Fields","Manage Fields"
"Flat","Flat"
"General Configuration","Configuração Geral"
"Gift Wrap","Gift Wrap"
"Google","Google"
"Google Api Key","Google Api Key"
"HTML allowed","HTML permitido"
"Heading Background Color","Cor de fundo do título"
"Heading Text Color","Cor do texto de cabeçalho"
"IP Country Lookup","Pesquisa de país do IP"
"In Payment Area","Na área de pagamento"
"In Review Area","Na área de revisão"
"It will show on success page","Será mostrado na página de sucesso"
"Material","Material"
"Month/Day/Year","Mês / Dia / Ano"
"No","Não"
"One Step Checkout","One Step Checkout"
"One Step Checkout Description","One Step Checkout Descrição"
"One Step Checkout Page Title","One Step Checkout Título da Página"
"One step checkout is turned off.","One Step Checkout está Off."
"Options","Opções"
"Order Comment","Comentários sobre o pedido"
"Order Survey","Order Survey"
"Per Item","Por Item"
"Per Order","Por pedido"
"Place Order button color","Cor do botão do Place Order"
"Restrict the auto suggestion for a specific country","Restringir a sugestão automática para um país específico"
"SORTED FIELDS","SORTED FIELDS"
"Save Position","Gravar posição"
"Set default payment method in the checkout process.","Set default payment method in the checkout process."
"Set default shipping method in the checkout process.","Set default shipping method in the checkout process."
"Show Discount Code Section","Show Discount Code Section"
"Show Login Link","Show Login Link"
"Show Newsletter Checkbox","Mostrar caixa de seleção do boletim informativo"
"Show Order Comment","Comentários sobre o pedido"
"Show Order Review Section","Mostrar seção de revisão de pedidos"
"Show Product Thumbnail Image","Mostrar imagem em miniatura do produto"
"Show Sign up newsletter selection","Mostrar Seleção do boletim de inscrição"
"You already have an account with us","Você já possui uma conta conosco"
"Sign in","Fazer login"
"continue as guest.","continue como convidado."
"Street","Rua"
"Style 1","Estilo 1"
"Style 2","Estilo 2"
"Style 3","Estilo 3"
"The default country will be set based on location of the customer.","O país padrão será definido com base na localização do cliente."
"There is an error while subscribing for newsletter.","Há um erro ao se inscrever para o boletim informativo."
"To calculate gift wrap fee based on item or order.","Para calcular a taxa de entrega de presentes com base no item ou no pedido."
"Unable to save order information. Please check input data.","Não é possível salvar informações de pedidos. Verifique os dados informados."
"Use Auto Suggestion Technology","Use a tecnologia de sugestão automática"
"When customer fills address fields, it will suggest a list of full addresses.","Quando o cliente preencher os campos de endereço, ele irá sugerir uma lista de endereços completos."
"Year/Month/Day","Ano/Mês/Dia"
"You can disable Order Review Section. It is enabled by default.","Você pode desabilitar a seção de revisão de pedidos. É habilitado por padrão."
