"-- Please select --","-- Por favor selecione --"
"1 Column","1 coluna"
"2 Columns","2 colunas"
"3 Columns","3 colunas"
"3 Columns With Colspan","3 colunas com Colspan"
"Example: .step-title{background-color: #1979c3;}","Exemplo: .step-title {background-color: # 1979c3;}"
"AVAILABLE FIELDS","CAMPOS DISPONÍVEIS"
"Add","Adicionar"
"Additional Content","Conteúdo adicional"
"Additional Information","informação adicional"
"After Adding a Product Redirect to OneStepCheckout Page","Depois de adicionar uma redirecionamento de produto à página OneStepCheckout"
"All fields have been saved.","Todos os campos foram salvos."
"Allow Customer Add Other Option","Permitir ao Cliente adicionar outra opção"
"Allow Guest Checkout","Permitir Guest Checkout"
"Allow checking out as a guest. Guest can create an account in the checkout page.","Permitir conferir como visitante. Convidado pode criar uma conta na página de checkout."
"Allow customer comment in order.","Permitir o comentário do cliente em ordem."
"Allow customers can billing to a different address from billing address.","Permitir que os clientes possam facultar a um endereço diferente do endereço de cobrança."
"Amount","Montante"
"Calculate Method","Método de cálculo"
"Can Show Billing Address","Pode mostrar o endereço de cobrança"
"Capture+ Key","Capture + Key"
"Capture+ by PCA Predict","Capturar + por PCA Predict"
"Checked Newsletter by default","Boletim de notícias verificado por padrão"
"Checkout Page Layout","Layout de página de compras"
"Could not add gift wrap for this quote","Não foi possível adicionar embrulho para esta citação"
"Could not remove item from quote","Não foi possível remover o item da cotação"
"Could not update item from quote","Não foi possível atualizar o item da cotação"
"Custom Css","CSS customizado"
"Date Format","Formato de data"
"Day/Month/Year","Dia mês ano"
"Days Off","Dias fora"
"Default","Padrão"
"Default Payment Method","Metodo de pagamento padrão"
"Default Shipping Method","Método de envio padrão"
"Delivery Time","Tempo de entrega"
"Design Configuration","Configuração do projeto"
"Design Style","Estilo de design"
"Display Configuration","Configuração da tela"
"Enable Delivery Time","Habilitar o tempo de entrega"
"Enable Gift Message","Permitir mensagem de presente"
"Enable Gift Wrap","Enable Gift Wrap"
"Enable One Step Checkout","Habilitar One Step Checkout"
"Enable Social Login On Checkout Page","Ativar Login Social na Página de Checkout"
"Enable Survey","Enable Survey"
"Enter the amount of gift wrap fee.","Insira a quantidade de taxa de entrega de presente."
"Error during save field position.","Erro durante a salvação da posição do campo."
"Manage Fields","Manage Fields"
"Flat","Plano"
"General Configuration","Configuração Geral"
"Gift Wrap","Embrulho de presente"
"Google","Google"
"Google Api Key","Google Api Key"
"HTML allowed","HTML permitido"
"Heading Background Color","Cabeçalho da cor do fundo"
"Heading Text Color","Cabeçalho da cor do texto"
"IP Country Lookup","IP Country Lookup"
"In Payment Area","Na área de pagamento"
"In Review Area","Na área de revisão"
"It will show on success page","Será mostrado na página de sucesso"
"Material","Material"
"Month/Day/Year","Mês dia ano"
"No","Não"
"One Step Checkout","One Step Checkout"
"One Step Checkout Description","One Step Checkout Description"
"One Step Checkout Page Title","One Step Checkout Título da Página"
"One step checkout is turned off.","O pagamento de uma etapa está desativado."
"Options","Opções"
"Order Comment","Comentário do pedido"
"Order Survey","Pesquisa de pedidos"
"Per Item","Por item"
"Per Order","Por ordem"
"Place Order button color","Cor do botão da ordem do pedido"
"Restrict the auto suggestion for a specific country","Restringir a sugestão automática para um país específico"
"SORTED FIELDS","CAMPOS ADEQUADOS"
"Save Position","Salvar posição"
"Set default payment method in the checkout process.","Defina o método de pagamento padrão no processo de checkout."
"Set default shipping method in the checkout process.","Defina o método de envio padrão no processo de checkout."
"Show Discount Code Section","Mostrar seção de código de desconto"
"Show Login Link","Mostrar link de login"
"Show Newsletter Checkbox","Mostrar caixa de seleção do boletim informativo"
"Show Order Comment","Mostrar comentário do pedido"
"Show Order Review Section","Mostrar seção de revisão de pedidos"
"Show Product Thumbnail Image","Mostrar imagem em miniatura do produto"
"Show Sign up newsletter selection","Seleção de boletim de inscrições de inscrições"
"You already have an account with us","Você já possui uma conta conosco"
"Sign in","assinar em"
"continue as guest.","continue como convidado."
"Street","Rua"
"Style 1","Estilo 1"
"Style 2","Estilo 2"
"Style 3","Estilo 3"
"The default country will be set based on location of the customer.","O país padrão será definido com base na localização do cliente."
"There is an error while subscribing for newsletter.","Há um erro ao se inscrever no boletim informativo."
"To calculate gift wrap fee based on item or order.","Para calcular a taxa de entrega de presentes com base no item ou ordem."
"Unable to save order information. Please check input data.","Não é possível salvar informações de pedidos. Verifique os dados de entrada."
"Use Auto Suggestion Technology","Use a tecnologia de sugestão automática"
"When customer fills address fields, it will suggest a list of full addresses.","Quando o cliente preencher campos de endereço, ele irá sugerir uma lista de endereços completos."
"Year/Month/Day","Ano mês dia"
"You can disable Order Review Section. It is enabled by default.","Você pode desabilitar a seção de revisão de pedidos. É habilitado por padrão."
