"-- Please select --","-- Te rog selecteaza --"
"1 Column","1 Coloană"
"2 Columns","2 Coloane"
"3 Columns","3 Coloane"
"3 Columns With Colspan","3 Coloane cu Colspan"
"Example: .step-title{background-color: #1979c3;}","Exemplu: .step-title {background-color: # 1979c3;}"
"AVAILABLE FIELDS","DOMENII DISPONIBILE"
"Add","Adăuga"
"Additional Content","Conținut suplimentar"
"Additional Information","informatii suplimentare"
"After Adding a Product Redirect to OneStepCheckout Page","După adăugarea redirecționării unui produs către pagina OneStepCheckout"
"All fields have been saved.","Toate câmpurile au fost salvate."
"Allow Customer Add Other Option","Permiteți clientului să adauge alte opțiuni"
"Allow Guest Checkout","Permiteți Guest Checkout"
"Allow checking out as a guest. Guest can create an account in the checkout page.","Permiteți verificarea ca oaspete. Vizitatorul poate crea un cont în pagina de control."
"Allow customer comment in order.","Permiteți comentariile clienților în ordine."
"Allow customers can billing to a different address from billing address.","Permiteți clienților posibilitatea de facturare la o adresă diferită de adresa de facturare."
"Amount","Cantitate"
"Calculate Method","Calculați metoda"
"Can Show Billing Address","Poate afișa adresa de facturare"
"Capture+ Key","Captură + cheie"
"Capture+ by PCA Predict","Capture + by PCA Predict"
"Checked Newsletter by default","Evaluează Newsletter-ul în mod implicit"
"Checkout Page Layout","Verificați aspectul paginii"
"Could not add gift wrap for this quote","Nu s-a putut adăuga înveliș cadou pentru această cotă"
"Could not remove item from quote","Nu s-a putut elimina un articol din cotație"
"Could not update item from quote","Nu s-a putut actualiza elementul din citat"
"Custom Css","Css personalizat"
"Date Format","Formatul datei"
"Day/Month/Year","Zi lună an"
"Days Off","Zile libere"
"Default","Mod implicit"
"Default Payment Method","Metoda de plată prestabilită"
"Default Shipping Method","Metoda de expediere implicită"
"Delivery Time","Timpul de livrare"
"Design Configuration","Design Configuration"
"Design Style","Stilul de design"
"Display Configuration","Afișare configurație"
"Enable Delivery Time","Activați ora de livrare"
"Enable Gift Message","Activați Mesaj cadou"
"Enable Gift Wrap","Activați Împachetarea cadourilor"
"Enable One Step Checkout","Activați verificarea la un pas"
"Enable Social Login On Checkout Page","Activați Login Social pe pagina de control Google Checkout"
"Enable Survey","Activați Ancheta"
"Enter the amount of gift wrap fee.","Introduceți suma taxei de împachetare cadou."
"Error during save field position.","Eroare la salvarea poziției câmpului."
"Manage Fields","Manage Fields"
"Flat","Apartament"
"General Configuration","Configurație generală"
"Gift Wrap","Ambalaj pentru cadouri"
"Google","Google"
"Google Api Key","Tasta Google Api"
"HTML allowed","HTML permis"
"Heading Background Color","Culoarea fundalului de fundal"
"Heading Text Color","Culoarea textului din titlu"
"IP Country Lookup","Căutare țara IP"
"In Payment Area","În zona de plată"
"In Review Area","În zona de examinare"
"It will show on success page","Se va afișa pe pagina de succes"
"Material","Material"
"Month/Day/Year","Luna zi an"
"No","Nu"
"One Step Checkout","Verificarea unui singur pas"
"One Step Checkout Description","Descrierea unui singur pas"
"One Step Checkout Page Title","Titlul paginii cu o singură etapă de verificare"
"One step checkout is turned off.","Verificarea unui pas este dezactivată."
"Options","Opțiuni"
"Order Comment","Comanda Comentariu"
"Order Survey","Sondaj de comandă"
"Per Item","Pe articol"
"Per Order","Pe comandă"
"Place Order button color","Așezați butonul Culoare buton"
"Restrict the auto suggestion for a specific country","Restricționați sugestia automată pentru o anumită țară"
"SORTED FIELDS","CÂMPURI CULTATE"
"Save Position","Salvați poziția"
"Set default payment method in the checkout process.","Setați metoda de plată implicită în procesul de plată."
"Set default shipping method in the checkout process.","Setați metoda de livrare implicită în procesul de închidere."
"Show Discount Code Section","Afișați secțiunea Codul de reducere"
"Show Login Link","Afișați linkul de conectare"
"Show Newsletter Checkbox","Afișați caseta de selectare a Newsletter-ului"
"Show Order Comment","Afișați comanda Comentariu"
"Show Order Review Section","Afișează secțiunea Review Order"
"Show Product Thumbnail Image","Afișați imaginea miniatură a produsului"
"Show Sign up newsletter selection","Afișați înscrierea selecției buletinelor informative"
"You already have an account with us","Aveți deja un cont cu noi"
"Sign in","Autentificare"
"continue as guest.","continuă ca vizitator."
"Street","Strada"
"Style 1","Stil 1"
"Style 2","Stil 2"
"Style 3","Stil 3"
"The default country will be set based on location of the customer.","Țara implicită va fi setată pe baza locației clientului."
"There is an error while subscribing for newsletter.","Există o eroare în timp ce vă abonați la newsletter."
"To calculate gift wrap fee based on item or order.","Pentru a calcula taxa de împachetare cadou pe baza articolului sau a comenzii."
"Unable to save order information. Please check input data.","Imposibil de salvat informațiile despre comandă. Verificați datele de intrare."
"Use Auto Suggestion Technology","Utilizați tehnologia Auto Suggestion"
"When customer fills address fields, it will suggest a list of full addresses.","Atunci când clientul umple câmpurile de adresă, acesta va sugera o listă de adrese complete."
"Year/Month/Day","An lună zi"
"You can disable Order Review Section. It is enabled by default.","Puteți dezactiva secțiunea de examinare a comenzilor. Este activat implicit."
